generation,survivalRate
895,90.4
896,86.6
897,89.4
898,88.4
899,88.9
900,90.5
901,90.100006
902,86.7
903,87.9
904,85.299995
905,88.1
906,89.700005
907,89.9
908,81.2
909,86.0
910,90.5
911,86.6
912,89.3
913,89.700005
914,90.6
915,87.4
916,90.8
917,89.700005
918,89.4
